product_id,name,category,price
10,Smartwatch X1,Eletrônicos,199.99
11,Fone de Ouvido Bluetooth,Eletrônicos,89.90
12,Notebook Gamer Z50,Eletrônicos,4500.00
13,Teclado Mecânico RGB,Eletrônicos,250.00
14,Mouse Sem Fio Ergonômico,Eletrônicos,75.50
15,Monitor UltraWide 34,Eletrônicos,1800.00
16,Webcam Full HD,Eletrônicos,120.00
17,Roteador Wi-Fi 6,Eletrônicos,300.00
18,Câmera de Segurança IP,Eletrônicos,350.00
19,Impressora Multifuncional,Eletrônicos,550.00
20,Liquidificador PowerMix,Eletrodomésticos,150.00
21,Batedeira Planetária,Eletrodomésticos,280.00
22,Cafeteira Expresso,Eletrodomésticos,400.00
23,Air Fryer Digital,Eletrodomésticos,320.00
24,Robô Aspirador Inteligente,Eletrodomésticos,1200.00
25,Geladeira Frost Free,Eletrodomésticos,2500.00
26,Máquina de Lavar 12kg,Eletrodomésticos,1900.00
27,Forno Micro-ondas 30L,Eletrodomésticos,600.00
28,Ferro de Passar a Vapor,Eletrodomésticos,90.00
29,Torradeira Elétrica,Eletrodomésticos,60.00
30,Camisa Casual Masculina,Vestuário,79.90
31,Calça Jeans Slim Fit,Vestuário,120.00
32,Vestido Floral Feminino,Vestuário,95.00
33,Tênis Esportivo Running,Vestuário,350.00
34,Jaqueta Corta-Vento,Vestuário,180.00
35,Meia Social Kit 3 Pares,Vestuário,30.00
36,Cueca Boxer Algodão,Vestuário,25.00
37,Sutiã de Renda,Vestuário,45.00
38,Bermuda Sarja Masculina,Vestuário,85.00
39,Blusa de Tricô Feminina,Vestuário,110.00
40,Livro: A Arte da Guerra,Livros,49.90
41,Livro: 1984,Livros,55.00
42,Livro: O Pequeno Príncipe,Livros,35.00
43,E-reader Paperwhite,Eletrônicos,499.00
44,Box de Livros Coleção Clássicos,Livros,180.00
45,Caneta Esferográfica Premium,Papelaria,25.00
46,Caderno Inteligente A5,Papelaria,70.00
47,Mochila Escolar Reforçada,Acessórios,150.00
48,Estojo Escolar Grande,Papelaria,40.00
49,Apontador de Mesa Elétrico,Papelaria,80.00
